Player,League,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Javi López,Spain La Liga 2025-26,Real Oviedo,Real Oviedo,LB,24.0,7500000,2030-06-30,23,1753,0,0.61,1,1.29,20.02,49.49,Spain,Spain,left,184,80,yes,10.99,8.73,66.47,2.31,33.33,0.46,0.57,0.05,4.72,5.79,1.8,3,0.15,1,0.05,2.16,0.0,0,0.0,0.03,0,0.0,8,0.41,12.5,0.0,0.05,2.93,38.6,2.88,39.29,0.05,0.0,0.26,2.26,43.18,6.57,37.5,0.62,1.44,0.15,28.24,2.52,1.28,37.99,79.86,13.96,72.43,7.7,90.67,8.47,81.21,31.37,87.56,3.9,48.68,18.18,31.11,0.07,0.77,0.05,0.1,0.0,0.0,0.31,3.8,70.27,2.41,46.81,0.21,0.0,0.15,0.98,8.52,62.05,0,,0,,0,0.0,0.0,0.0,,,0.72,,,0.15,0.0,0.0,0.0,0,0.0
Abel Bretones,Spain La Liga 2025-26,Osasuna,Osasuna,"LB, LWB",25.0,1800000,2029-06-30,27,1748,1,0.58,2,1.4,14.78,50.52,Spain,Spain,left,186,78,no,8.44,7.16,60.43,1.03,45.0,0.31,0.36,0.36,3.81,4.49,0.82,5,0.26,1,0.05,1.8,0.05,1,0.05,0.03,0,0.0,11,0.57,27.27,9.091,0.1,1.44,53.57,1.29,52.0,0.15,66.67,0.1,1.29,68.0,5.25,40.2,0.82,1.6,0.51,18.84,1.13,0.93,25.64,75.9,10.45,63.55,4.69,94.51,5.61,83.49,20.29,82.23,3.96,51.95,18.13,28.63,0.07,0.72,0.0,0.0,0.0,0.0,0.31,3.24,58.73,1.65,56.25,0.26,20.0,0.26,0.67,5.41,69.52,0,,0,,0,0.0,0.0,0.0,,,0.41,,,0.0,0.0,0.0,0.0,0,0.0
Brais Méndez,Spain La Liga 2025-26,Real Sociedad,Real Sociedad,"RCMF, CF, AMF",29.0,0,2028-06-30,28,1747,6,5.41,3,2.75,16.69,42.28,Spain,Spain,left,187,76,no,5.2,4.89,51.58,2.37,45.65,0.57,0.8,0.1,2.11,2.96,2.22,5,0.26,1,0.05,2.27,0.31,5,0.26,0.28,0,0.0,35,1.8,42.86,17.143,0.15,1.55,33.33,0.88,17.65,0.67,53.85,0.36,1.85,44.44,6.9,38.06,2.58,0.93,0.05,31.79,0.93,1.55,42.5,81.58,12.36,71.67,10.51,93.63,11.75,82.89,38.23,85.18,2.78,57.41,16.91,26.24,0.14,1.18,0.05,0.0,0.21,75.0,0.36,6.59,74.22,2.11,58.54,0.41,50.0,1.08,0.62,6.03,76.92,0,,0,,0,0.0,0.0,0.0,,,1.34,,,1.03,0.21,25.0,1.7,2,50.0
Manu Morlanes,Spain La Liga 2025-26,Mallorca,Mallorca,"LCMF, LDMF, RDMF",27.0,2500000,2028-06-30,30,1733,2,1.72,0,1.05,12.52,55.19,Spain,Spain,right,178,75,no,7.37,6.18,64.71,1.35,46.15,0.21,0.27,0.1,3.17,4.14,1.25,3,0.16,1,0.05,0.83,0.1,2,0.1,0.09,0,0.0,11,0.57,27.27,18.182,0.0,0.57,45.45,0.31,33.33,0.21,50.0,0.05,0.68,53.85,2.75,39.62,1.04,1.3,0.16,30.85,0.73,0.57,44.04,89.74,13.92,80.97,7.01,97.78,14.54,93.21,40.82,92.49,2.7,55.77,16.82,26.79,0.05,0.57,0.05,0.05,0.05,100.0,0.16,6.54,78.57,1.66,56.25,0.42,50.0,0.88,0.26,6.08,72.65,0,,0,,0,0.0,0.0,0.0,,,0.62,,,0.0,0.0,0.0,0.0,0,0.0
R. Alhassane,Spain La Liga 2025-26,Real Oviedo,Real Oviedo,LB,24.0,300000,2028-06-30,25,1724,0,0.12,0,0.75,12.27,50.64,Niger,"Niger, Spain",left,184,76,no,8.56,5.79,56.76,2.04,53.85,0.16,0.19,0.21,5.12,6.3,0.47,2,0.1,0,0.0,1.31,0.0,0,0.0,0.01,0,0.0,3,0.16,0.0,0.0,0.0,3.34,25.0,3.34,25.0,0.0,0.0,0.31,0.99,47.37,2.71,36.54,0.42,1.57,0.31,26.99,2.87,0.31,38.32,77.25,13.0,69.48,8.2,91.72,8.61,75.15,32.21,85.58,3.08,42.37,18.33,30.38,0.04,0.52,0.0,0.05,0.0,0.0,0.26,2.77,66.04,3.08,42.37,0.0,0.0,0.57,0.73,6.32,59.5,0,,0,,0,0.0,0.0,0.0,,,0.94,,,0.0,0.0,0.0,0.05,0,0.0
Aitor Paredes,Spain La Liga 2025-26,Athletic Club,Athletic Club,"LCB, RCB",26.0,22000000,2029-06-30,18,1696,2,1.35,0,0.16,10.35,59.49,Spain,Spain,right,186,76,no,7.0,4.51,67.06,3.34,53.97,0.42,0.57,0.21,3.56,4.8,0.9,4,0.21,0,0.0,0.32,0.11,2,0.11,0.07,2,0.11,10,0.53,50.0,20.0,0.0,0.05,100.0,0.0,0.0,0.05,100.0,0.0,0.05,0.0,0.48,55.56,0.69,1.27,0.11,31.2,0.16,0.27,48.08,88.41,17.78,77.31,3.71,97.14,22.18,96.65,41.76,92.25,6.31,63.03,21.16,37.25,0.01,0.16,0.0,0.0,0.05,0.0,0.05,6.05,71.05,0.42,25.0,0.64,25.0,0.27,0.0,8.07,77.63,0,,0,,0,0.0,0.0,0.0,,,3.13,,,0.0,0.0,0.0,0.0,0,0.0
Ferrán Jutglà,Spain La Liga 2025-26,Celta de Vigo,Celta de Vigo,"CF, RWF",27.0,7500000,2029-06-30,28,1694,9,5.88,3,1.11,15.41,36.21,Spain,Spain,right,175,79,no,3.24,2.6,40.82,2.71,27.45,0.21,0.24,0.05,1.97,2.27,1.28,4,0.21,0,0.0,3.4,0.48,9,0.48,0.31,0,0.0,42,2.23,57.14,21.429,0.16,1.17,27.27,0.21,0.0,0.96,33.33,0.37,3.08,56.9,7.38,41.73,3.51,1.75,0.37,19.76,2.34,1.28,22.21,75.6,3.24,60.66,7.7,90.34,6.16,72.41,19.92,79.47,1.17,59.09,14.79,17.98,0.06,0.69,0.11,0.0,0.11,50.0,0.43,1.38,73.08,1.28,45.83,0.11,0.0,0.8,0.32,1.97,56.76,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
Jorge Herrando,Spain La Liga 2025-26,Osasuna,Osasuna,LCB,25.0,6000000,2030-06-30,27,1685,0,0.3,1,0.66,13.57,62.99,Spain,Spain,left,192,77,no,8.71,7.0,69.47,2.94,52.73,0.11,0.13,0.48,3.74,4.39,1.18,3,0.16,0,0.0,0.05,0.0,0,0.0,0.02,0,0.0,1,0.05,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.05,100.0,0.91,35.29,0.37,0.21,0.05,24.36,0.05,0.43,36.16,86.41,16.45,76.95,2.3,95.35,13.99,96.18,32.26,91.23,3.85,47.22,19.1,30.09,0.04,0.11,0.05,0.0,0.0,0.0,0.05,3.26,63.93,0.11,0.0,0.05,0.0,0.16,0.0,5.66,65.09,0,,0,,0,0.0,0.0,0.0,,,1.23,,,0.0,0.0,0.0,0.05,0,0.0
M. Satriano,Spain La Liga 2025-26,Getafe,Getafe,"CF, LW",25.0,7000000,2026-06-30,17,1671,6,3.38,0,0.44,25.26,37.95,Uruguay,"Uruguay, Italy",right,187,75,yes,5.01,3.99,62.16,6.95,33.33,0.27,0.32,0.11,2.26,2.72,1.08,4,0.22,0,0.0,2.75,0.32,6,0.32,0.18,1,0.05,27,1.45,48.15,22.222,0.0,1.4,34.62,0.75,35.71,0.65,33.33,0.27,3.07,50.88,10.83,31.34,2.21,0.92,0.27,11.53,1.67,1.45,18.53,67.15,4.74,54.55,4.36,79.01,4.79,60.67,16.1,71.24,1.08,50.0,15.77,25.35,0.02,0.38,0.0,0.05,0.16,0.0,0.27,1.67,58.06,1.45,40.74,0.22,25.0,0.48,0.48,2.42,62.22,0,,0,,0,0.0,0.0,0.0,,,0.05,,,0.0,0.0,0.0,0.0,0,0.0
R. Lewandowski,Spain La Liga 2025-26,Barcelona,Barcelona,CF,37.0,15000000,2026-06-30,29,1666,13,11.53,1,1.61,12.53,31.47,Poland,Poland,right,185,81,no,2.11,1.19,31.82,2.81,40.38,0.11,0.22,0.11,1.62,3.36,0.65,2,0.11,0,0.0,2.05,0.7,12,0.65,0.62,5,0.27,53,2.86,50.94,24.528,0.05,0.11,0.0,0.0,0.0,0.11,0.0,0.0,1.08,50.0,5.35,28.28,4.48,0.27,0.0,13.45,1.19,0.92,15.83,81.91,3.13,65.52,5.08,92.55,2.86,77.36,15.18,83.99,0.54,40.0,13.32,11.63,0.09,0.43,0.0,0.0,0.05,100.0,0.32,0.92,58.82,0.7,84.62,0.22,75.0,1.03,0.0,1.03,57.89,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,3,33.333
Unai López,Spain La Liga 2025-26,Rayo Vallecano,Rayo Vallecano,"LDMF, RDMF, LCMF",30.0,3000000,2026-06-30,27,1662,0,0.87,4,2.35,12.73,40.0,Spain,Spain,right,170,68,no,6.39,5.74,48.11,1.68,38.71,1.03,1.55,0.11,2.6,3.92,1.73,6,0.32,1,0.05,1.03,0.0,0,0.0,0.05,0,0.0,20,1.08,25.0,0.0,0.22,0.97,22.22,0.32,16.67,0.65,25.0,0.11,0.76,64.29,3.19,33.9,0.87,0.92,0.11,38.07,0.38,0.7,51.88,86.33,14.35,69.06,8.39,95.48,21.71,94.01,44.62,92.6,6.39,50.85,21.53,35.26,0.13,1.41,0.0,0.0,0.11,50.0,0.32,8.23,68.42,1.95,41.67,0.6,18.18,0.65,0.22,6.88,77.95,0,,0,,0,0.0,0.0,0.0,,,1.03,,,0.43,0.05,0.0,2.92,0,0.0
Jesús Areso,Spain La Liga 2025-26,Athletic Club,Athletic Club,RB,26.0,7500000,2031-06-30,26,1660,0,0.12,1,1.37,13.39,58.3,Spain,Spain,right,182,81,no,6.72,5.1,61.7,2.6,72.92,0.11,0.15,0.27,3.47,4.73,0.92,3,0.16,0,0.0,3.42,0.0,0,0.0,0.01,0,0.0,5,0.27,20.0,0.0,0.05,4.88,38.89,0.0,0.0,4.88,38.89,0.27,2.11,69.23,4.28,53.16,0.7,1.9,0.6,25.48,1.57,0.38,35.67,79.18,9.76,74.44,6.02,96.4,13.77,79.53,28.9,88.18,2.11,46.15,18.66,25.44,0.07,1.03,0.0,0.05,0.0,0.0,0.6,3.47,75.0,3.96,52.05,0.05,0.0,0.49,1.9,6.99,82.95,0,,0,,0,0.0,0.0,0.0,,,0.92,,,0.0,0.0,0.0,0.05,0,0.0
Raúl Asencio,Spain La Liga 2025-26,Real Madrid,Real Madrid,"RCB, RB",23.0,0,2031-06-30,21,1655,2,1.5,0,0.21,9.46,57.47,Spain,Spain,right,184,84,no,6.36,3.26,61.67,2.5,58.7,0.6,0.88,0.44,3.75,5.55,0.87,4,0.22,0,0.0,0.38,0.11,2,0.11,0.08,2,0.11,13,0.71,38.46,15.385,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.11,100.0,1.74,46.88,1.03,1.31,0.05,42.36,0.76,0.92,52.64,94.52,17.84,91.16,3.48,95.31,25.34,96.78,49.98,96.52,2.61,58.33,17.22,34.08,0.01,0.16,0.0,0.0,0.0,0.0,0.11,5.49,86.14,0.54,50.0,0.44,37.5,0.38,0.0,5.11,78.72,0,,0,,0,0.0,0.0,0.0,,,2.01,,,0.0,0.0,0.0,0.0,0,0.0
C. Starfelt,Spain La Liga 2025-26,Celta de Vigo,Celta de Vigo,CB,30.0,6000000,2027-06-30,19,1637,0,0.66,0,0.21,11.27,67.32,Sweden,Sweden,right,187,80,no,7.7,4.29,75.64,2.86,65.38,0.05,0.07,0.77,4.4,5.24,0.99,2,0.11,1,0.05,0.11,0.0,0,0.0,0.04,0,0.0,4,0.22,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,50.0,0.88,37.5,0.27,0.27,0.0,41.12,0.44,0.49,55.91,93.9,12.26,81.61,2.25,100.0,36.01,97.56,54.26,95.34,1.65,46.67,18.61,26.17,0.01,0.05,0.0,0.0,0.0,0.0,0.0,2.69,81.63,0.0,0.0,0.0,0.0,0.05,0.0,4.84,60.23,0,,0,,0,0.0,0.0,0.0,,,1.7,,,0.0,0.0,0.0,0.0,0,0.0
R. Vargas,Spain La Liga 2025-26,Sevilla,Sevilla,"AMF, LAMF, RW",27.0,9000000,2029-06-30,22,1624,3,4.25,5,2.0,15.24,47.27,Switzerland,"Switzerland, Dominican Republic",right,177,70,no,4.05,3.66,65.15,2.33,50.0,0.0,0.0,0.06,1.66,2.21,0.72,2,0.11,0,0.0,2.88,0.17,2,0.11,0.24,0,0.0,37,2.05,21.62,8.108,0.28,2.49,28.89,1.33,33.33,1.16,23.81,0.33,3.38,49.18,7.32,41.67,3.16,2.55,0.39,24.16,1.72,0.83,30.09,72.56,7.98,63.89,9.42,90.0,7.54,65.44,25.83,78.97,1.88,38.24,17.68,25.07,0.11,0.83,0.06,0.06,0.11,50.0,0.22,2.94,64.15,2.27,34.15,0.11,50.0,0.67,0.72,4.21,63.16,0,,0,,0,0.0,0.0,0.0,,,0.61,,,1.16,0.06,0.0,2.11,1,100.0
Pablo Torre,Spain La Liga 2025-26,Mallorca,Mallorca,"AMF, LCMF, LAMF",23.0,3000000,2029-06-30,33,1616,3,1.37,3,1.8,16.99,46.23,Spain,Spain,right,173,63,no,6.79,5.68,60.78,1.62,20.69,0.72,0.98,0.06,2.62,3.54,1.45,4,0.22,0,0.0,1.89,0.17,3,0.17,0.08,0,0.0,20,1.11,50.0,15.0,0.17,1.39,16.0,1.0,22.22,0.39,0.0,0.17,2.0,52.78,7.18,43.41,1.06,1.45,0.28,28.01,0.61,1.78,40.1,83.75,11.53,73.91,8.63,93.55,12.14,84.86,36.2,88.46,2.62,51.06,16.15,24.37,0.1,1.34,0.11,0.11,0.06,100.0,0.33,6.35,84.21,1.89,35.29,0.56,50.0,0.78,0.28,5.85,71.43,0,,0,,0,0.0,0.0,0.0,,,0.45,,,1.34,0.22,50.0,2.51,0,0.0
R. Rodríguez,Spain La Liga 2025-26,Real Betis,Real Betis,LB,33.0,3500000,2026-06-30,22,1612,0,0.15,1,0.39,9.38,54.17,Switzerland,"Switzerland, Chile",left,182,77,no,6.87,5.81,51.92,1.9,50.0,0.45,0.49,0.06,3.41,3.77,0.45,0,0.0,0,0.0,0.45,0.0,0,0.0,0.01,0,0.0,3,0.17,0.0,0.0,0.06,0.67,58.33,0.67,58.33,0.0,0.0,0.0,0.06,100.0,0.78,57.14,0.11,1.0,0.06,26.07,1.4,0.28,34.06,84.75,15.07,78.15,4.97,96.63,8.32,85.23,29.31,90.67,4.13,45.95,18.01,28.38,0.02,0.33,0.0,0.0,0.0,0.0,0.11,3.63,72.31,0.73,76.92,0.28,60.0,0.17,0.33,6.64,66.39,0,,0,,0,0.0,0.0,0.0,,,0.22,,,0.0,0.0,0.0,0.0,0,0.0
A. Ounahi,Spain La Liga 2025-26,Girona,Girona,"LCMF, AMF, CF",26.0,12000000,2030-06-30,21,1591,5,3.75,2,4.48,21.5,42.11,Morocco,Morocco,right,182,62,no,4.47,4.53,51.25,0.62,36.36,0.0,0.0,0.11,2.15,2.6,0.79,6,0.34,0,0.0,4.41,0.28,4,0.23,0.21,0,0.0,40,2.26,37.5,12.5,0.11,1.19,33.33,0.96,35.29,0.17,33.33,0.11,5.15,50.55,14.99,40.0,1.81,3.79,0.45,38.13,1.47,2.94,44.75,85.46,12.39,79.0,10.01,95.48,12.11,85.51,42.03,88.29,1.64,48.28,15.73,24.1,0.25,1.36,0.17,0.17,0.96,58.82,0.62,6.56,78.45,3.22,52.63,1.02,38.89,1.92,0.51,5.77,78.43,0,,0,,0,0.0,0.0,0.0,,,0.23,,,0.45,0.17,33.33,0.34,1,100.0
Dani Calvo,Spain La Liga 2025-26,Real Oviedo,Real Oviedo,"LCB, RCB",32.0,1500000,2027-06-30,18,1587,0,0.58,0,0.0,10.72,68.78,Spain,Spain,right,190,82,no,9.07,4.93,77.01,3.97,70.0,0.17,0.2,1.08,5.1,5.95,0.62,2,0.11,0,0.0,0.0,0.0,0,0.0,0.03,0,0.0,2,0.11,0.0,0.0,0.0,0.11,0.0,0.06,0.0,0.06,0.0,0.06,0.0,0.0,0.79,21.43,0.23,0.06,0.0,26.54,0.34,0.34,37.03,88.82,12.65,77.58,2.61,100.0,17.98,95.58,32.95,94.15,3.97,47.14,19.91,32.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,50.94,0.23,0.0,0.17,0.0,0.0,0.0,3.97,57.14,0,,0,,0,0.0,0.0,0.0,,,2.21,,,0.0,0.0,0.0,0.0,0,0.0
Iñaki Peña,Spain La Liga 2025-26,Elche,Elche,GK,27.0,8000000,2029-06-30,16,1578,0,0.0,0,0.08,0.46,62.5,Spain,Spain,right,184,78,yes,1.54,0.29,40.0,0.17,100.0,0.0,0.0,0.0,1.43,2.17,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.08,0.46,0.06,45.0,85.8,23.67,76.39,0.0,0.0,18.54,96.62,29.94,97.14,15.06,63.26,27.88,47.09,0.0,0.06,0.06,0.0,0.0,0.0,0.06,5.82,57.84,0.23,0.0,0.46,50.0,0.0,0.0,11.35,76.88,28,1.6,80,4.56,4,65.0,27.89,1.59,-0.11,-0.006,0.0,0.91,0.17,,,,0.0,0,0.0
T. Kubo,Spain La Liga 2025-26,Real Sociedad,Real Sociedad,"RW, RAMF",24.0,50000000,2029-06-30,23,1575,2,2.03,4,3.19,21.94,52.08,Japan,Japan,left,173,64,no,5.54,4.57,68.75,1.66,37.93,0.17,0.25,0.0,2.23,3.21,0.4,2,0.11,0,0.0,5.26,0.11,2,0.11,0.12,1,0.06,27,1.54,40.74,7.407,0.23,1.49,19.23,0.06,100.0,1.43,16.0,0.63,6.29,69.09,13.6,50.84,3.26,4.69,0.17,22.91,1.49,2.86,28.34,78.23,6.8,64.71,6.8,94.12,7.31,72.66,25.77,83.59,1.09,31.58,14.12,15.73,0.18,1.54,0.17,0.0,0.11,0.0,0.63,1.83,65.63,2.74,56.25,0.29,40.0,2.0,0.29,3.26,71.93,0,,0,,0,0.0,0.0,0.0,,,0.23,,,0.17,0.06,0.0,1.14,0,0.0
K. Arriaga,Spain La Liga 2025-26,Levante,Levante,"LCMF, RCMF, LDMF",28.0,1500000,2028-06-30,25,1573,2,0.68,2,0.85,17.11,52.51,Honduras,Honduras,right,191,83,no,9.55,5.78,62.38,5.09,56.18,0.46,0.54,0.69,5.49,6.49,1.09,6,0.34,1,0.06,0.92,0.11,2,0.11,0.04,0,0.0,13,0.74,38.46,15.385,0.11,0.29,40.0,0.17,33.33,0.11,50.0,0.06,0.97,52.94,4.01,40.0,0.51,0.63,0.11,23.52,0.51,1.09,36.16,87.03,10.47,71.58,5.26,94.57,15.62,94.51,33.07,90.31,2.8,53.06,17.84,27.46,0.05,0.23,0.06,0.0,0.06,0.0,0.17,5.44,71.58,0.86,40.0,0.4,28.57,0.29,0.11,5.15,64.44,0,,0,,0,0.0,0.0,0.0,,,0.92,,,0.11,0.11,0.0,0.0,0,0.0
Pacha,Spain La Liga 2025-26,Rayo Vallecano,Rayo Vallecano,"LB, LAMF, RB",34.0,2400000,2026-06-30,28,1573,2,1.72,0,1.66,19.28,54.6,Uruguay,"Uruguay, Spain",left,172,71,no,9.67,8.41,63.27,1.83,31.25,0.17,0.26,0.11,4.18,6.35,1.37,2,0.11,0,0.0,2.69,0.11,2,0.11,0.1,0,0.0,19,1.09,42.11,10.526,0.0,3.03,24.53,2.86,26.0,0.17,0.0,0.11,2.23,66.67,5.89,56.31,1.72,1.83,0.23,23.0,1.26,1.43,33.53,71.16,12.3,59.53,4.98,95.4,11.33,70.71,26.61,79.35,4.12,50.0,18.59,25.89,0.1,0.74,0.0,0.06,0.23,0.0,0.57,4.75,56.63,3.32,29.31,0.46,12.5,0.69,0.69,6.98,71.31,0,,0,,0,0.0,0.0,0.0,,,0.29,,,0.0,0.0,0.0,0.0,0,0.0
N. González,Spain La Liga 2025-26,Atlético Madrid,Atlético Madrid,"LW, LCMF, LB",28.0,35000000,2029-06-30,24,1571,5,4.47,0,0.65,20.97,48.09,Argentina,"Argentina, Italy",left,180,72,yes,6.47,4.93,50.0,5.9,50.49,0.4,0.52,0.23,3.61,4.64,1.6,4,0.23,1,0.06,3.55,0.29,5,0.29,0.26,3,0.17,37,2.12,51.35,13.514,0.0,2.18,15.79,1.95,14.71,0.17,33.33,0.11,3.49,60.66,7.85,45.26,3.72,2.29,0.4,24.58,2.01,1.43,31.22,76.33,7.39,56.59,8.71,92.76,9.4,81.1,27.1,83.09,2.12,48.65,18.25,27.03,0.04,0.63,0.06,0.0,0.0,0.0,0.29,2.46,58.14,2.12,51.35,0.23,25.0,0.92,0.4,3.78,65.15,0,,0,,0,0.0,0.0,0.0,,,0.52,,,0.0,0.0,0.0,0.0,0,0.0
E. Camavinga,Spain La Liga 2025-26,Real Madrid,Real Madrid,"LCMF, DMF, LDMF",23.0,0,2029-06-30,27,1566,1,1.05,0,0.96,16.44,54.9,Angola,"Angola, France",left,185,77,no,9.83,8.1,63.83,1.21,57.14,0.4,0.55,0.52,4.25,5.86,1.9,2,0.11,0,0.0,1.03,0.06,1,0.06,0.06,1,0.06,12,0.69,16.67,8.333,0.0,0.34,33.33,0.17,66.67,0.11,0.0,0.0,0.98,64.71,5.57,46.39,0.86,1.44,0.34,43.68,0.4,1.61,56.09,92.32,13.79,85.42,8.79,98.04,24.2,93.59,52.01,95.25,3.74,56.92,18.14,28.31,0.06,0.57,0.17,0.06,0.23,75.0,0.4,8.91,84.52,1.55,51.85,0.92,43.75,0.86,0.06,6.03,87.62,0,,0,,0,0.0,0.0,0.0,,,1.78,,,0.0,0.0,0.0,0.0,0,0.0
Álex Baena,Spain La Liga 2025-26,Atlético Madrid,Atlético Madrid,"LW, AMF, CF",24.0,0,2030-06-30,25,1562,2,1.29,4,4.41,16.25,42.55,Spain,Spain,right,174,69,no,5.7,4.49,56.41,2.19,15.79,0.17,0.24,0.23,3.0,4.11,1.44,5,0.29,0,0.0,3.75,0.12,2,0.12,0.07,0,0.0,21,1.21,28.57,9.524,0.23,3.75,35.38,2.36,34.15,1.38,37.5,0.35,3.92,51.47,7.72,47.76,2.07,3.11,0.63,30.48,1.44,1.61,39.93,79.37,10.31,67.6,7.61,94.7,14.58,85.77,32.78,86.82,3.46,56.67,19.52,30.24,0.25,2.02,0.06,0.06,0.17,33.33,1.04,4.84,65.48,4.84,58.33,0.98,17.65,2.48,1.27,7.03,80.33,0,,0,,0,0.0,0.0,0.0,,,0.35,,,0.58,0.0,0.0,3.34,0,0.0
Isaac Romero,Spain La Liga 2025-26,Sevilla,Sevilla,CF,25.0,18000000,2028-06-30,27,1540,4,4.99,0,1.12,20.81,33.71,Spain,Spain,left,184,77,no,4.09,3.92,46.27,2.86,36.73,0.18,0.24,0.06,2.1,2.93,1.69,6,0.35,1,0.06,2.05,0.23,4,0.23,0.29,0,0.0,33,1.93,36.36,12.121,0.0,0.7,16.67,0.35,16.67,0.35,16.67,0.06,1.87,62.5,9.82,29.17,3.68,0.82,0.23,12.8,1.58,1.29,18.94,72.53,3.86,51.52,6.49,86.49,4.56,75.64,17.77,75.66,0.53,33.33,17.12,13.17,0.07,0.7,0.0,0.0,0.18,33.33,0.41,1.87,62.5,1.05,33.33,0.18,33.33,0.47,0.12,1.93,69.7,0,,0,,0,0.0,0.0,0.0,,,0.35,,,0.0,0.0,0.0,0.0,1,0.0
Fran Beltrán,Spain La Liga 2025-26,Girona,Girona,"RCMF, RDMF, LCMF",27.0,6000000,2030-06-30,24,1539,1,0.69,0,0.24,13.33,45.61,Spain,Spain,right,165,64,no,8.01,6.26,61.68,1.81,38.71,0.47,0.59,0.41,3.68,4.68,0.99,3,0.18,0,0.0,0.76,0.06,1,0.06,0.04,0,0.0,13,0.76,30.77,7.692,0.0,0.41,42.86,0.06,0.0,0.35,50.0,0.0,0.82,42.86,4.15,26.76,0.58,0.94,0.12,42.81,0.0,0.64,55.2,91.63,15.96,81.68,7.89,97.04,23.86,96.57,51.4,94.08,3.39,60.34,17.63,28.92,0.01,0.18,0.0,0.0,0.0,0.0,0.06,7.49,87.5,0.82,50.0,0.23,25.0,0.23,0.18,5.09,73.56,0,,0,,0,0.0,0.0,0.0,,,1.05,,,0.0,0.0,0.0,0.12,0,0.0
A. Rebbach,Spain La Liga 2025-26,Deportivo Alavés,Deportivo Alavés,"LW, LB, LAMF",27.0,800000,2028-06-30,28,1531,1,2.02,3,3.34,20.1,50.58,Algeria,"Algeria, Spain",right,176,68,no,6.0,6.41,56.88,1.53,34.62,0.0,0.0,0.0,2.35,3.13,1.88,7,0.41,0,0.0,4.41,0.06,1,0.06,0.12,0,0.0,25,1.47,40.0,4.0,0.18,3.29,19.64,2.76,19.15,0.53,22.22,0.65,4.41,72.0,9.17,54.49,2.12,3.29,0.71,18.58,1.18,1.47,28.39,71.43,6.47,61.82,6.23,93.4,9.11,71.61,23.34,81.61,1.76,33.33,18.51,19.88,0.2,1.29,0.0,0.0,0.0,0.0,0.35,2.65,62.22,2.41,46.34,0.06,0.0,0.53,0.82,4.11,60.0,0,,0,,0,0.0,0.0,0.0,,,0.47,,,1.12,0.06,100.0,2.53,0,0.0
